# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 2.000e-04, 2.000e-04 m
# PONI: 1.995e-01, 2.016e-01 m
# Distance Sample to Detector: 1.79502286468 m
# Rotations: -0.004483 0.004646 0.000019 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1795.060 mm
# Center: x=1048.052, y=1039.198 pix
# Tilt: 0.370 deg  TiltPlanRot: 46.021 deg
# 
# Wavelength: 1.4235e-11
# Polarization factor: None
# Normalization factor: 1.0
# --> /Volumes/desy/desy_2018/TiAlNi/TiAlNi_1-00051.txt
#       2th_deg             I 
  1.163807e+00    1.411243e+02
  1.166923e+00    1.406609e+02
  1.170039e+00    1.405942e+02
  1.173155e+00    1.402144e+02
  1.176271e+00    1.395984e+02
  1.179387e+00    1.388110e+02
  1.182503e+00    1.387767e+02
  1.185619e+00    1.392161e+02
  1.188735e+00    1.393568e+02
  1.191851e+00    1.394606e+02
  1.194967e+00    1.391793e+02
  1.198083e+00    1.388846e+02
  1.201199e+00    1.384474e+02
  1.204315e+00    1.384670e+02
  1.207431e+00    1.385045e+02
  1.210547e+00    1.385550e+02
  1.213663e+00    1.375183e+02
  1.216778e+00    1.369512e+02
  1.219894e+00    1.365262e+02
  1.223010e+00    1.367363e+02
  1.226126e+00    1.365464e+02
  1.229242e+00    1.364141e+02
  1.232358e+00    1.364537e+02
  1.235474e+00    1.363176e+02
  1.238590e+00    1.357797e+02
  1.241706e+00    1.355540e+02
  1.244822e+00    1.353682e+02
  1.247938e+00    1.351553e+02
  1.251054e+00    1.346337e+02
  1.254170e+00    1.345277e+02
  1.257286e+00    1.339278e+02
  1.260402e+00    1.334737e+02
  1.263518e+00    1.329498e+02
  1.266634e+00    1.326979e+02
  1.269750e+00    1.327095e+02
  1.272866e+00    1.325745e+02
  1.275982e+00    1.322612e+02
  1.279097e+00    1.316761e+02
  1.282213e+00    1.316169e+02
  1.285329e+00    1.319371e+02
  1.288445e+00    1.319928e+02
  1.291561e+00    1.319652e+02
  1.294677e+00    1.318499e+02
  1.297793e+00    1.312059e+02
  1.300909e+00    1.303759e+02
  1.304025e+00    1.295894e+02
  1.307141e+00    1.294598e+02
  1.310257e+00    1.296377e+02
  1.313373e+00    1.296224e+02
  1.316489e+00    1.293522e+02
  1.319605e+00    1.285139e+02
  1.322721e+00    1.280962e+02
  1.325837e+00    1.279652e+02
  1.328953e+00    1.279246e+02
  1.332069e+00    1.278889e+02
  1.335185e+00    1.277453e+02
  1.338301e+00    1.271523e+02
  1.341416e+00    1.271520e+02
  1.344532e+00    1.270900e+02
  1.347648e+00    1.270737e+02
  1.350764e+00    1.266865e+02
  1.353880e+00    1.266574e+02
  1.356996e+00    1.265064e+02
  1.360112e+00    1.261318e+02
  1.363228e+00    1.259356e+02
  1.366344e+00    1.257644e+02
  1.369460e+00    1.256283e+02
  1.372576e+00    1.258678e+02
  1.375692e+00    1.257306e+02
  1.378808e+00    1.256129e+02
  1.381924e+00    1.253532e+02
  1.385040e+00    1.251723e+02
  1.388156e+00    1.246756e+02
  1.391272e+00    1.241070e+02
  1.394388e+00    1.240232e+02
  1.397504e+00    1.239117e+02
  1.400619e+00    1.238183e+02
  1.403735e+00    1.236369e+02
  1.406851e+00    1.235638e+02
  1.409967e+00    1.234641e+02
  1.413083e+00    1.233507e+02
  1.416199e+00    1.229909e+02
  1.419315e+00    1.223864e+02
  1.422431e+00    1.220938e+02
  1.425547e+00    1.216868e+02
  1.428663e+00    1.214527e+02
  1.431779e+00    1.214052e+02
  1.434895e+00    1.213535e+02
  1.438011e+00    1.211335e+02
  1.441127e+00    1.205039e+02
  1.444243e+00    1.205560e+02
  1.447359e+00    1.208628e+02
  1.450475e+00    1.205643e+02
  1.453591e+00    1.204459e+02
  1.456707e+00    1.200049e+02
  1.459823e+00    1.198332e+02
  1.462938e+00    1.192365e+02
  1.466054e+00    1.188730e+02
  1.469170e+00    1.190131e+02
  1.472286e+00    1.189108e+02
  1.475402e+00    1.190576e+02
  1.478518e+00    1.189426e+02
  1.481634e+00    1.186195e+02
  1.484750e+00    1.181770e+02
  1.487866e+00    1.181372e+02
  1.490982e+00    1.179527e+02
  1.494098e+00    1.174851e+02
  1.497214e+00    1.171593e+02
  1.500330e+00    1.175012e+02
  1.503446e+00    1.178098e+02
  1.506562e+00    1.179213e+02
  1.509678e+00    1.175475e+02
  1.512794e+00    1.172918e+02
  1.515910e+00    1.170738e+02
  1.519026e+00    1.166954e+02
  1.522142e+00    1.164858e+02
  1.525257e+00    1.163158e+02
  1.528373e+00    1.161543e+02
  1.531489e+00    1.159865e+02
  1.534605e+00    1.157684e+02
  1.537721e+00    1.155191e+02
  1.540837e+00    1.152466e+02
  1.543953e+00    1.151201e+02
  1.547069e+00    1.152140e+02
  1.550185e+00    1.150038e+02
  1.553301e+00    1.146754e+02
  1.556417e+00    1.144143e+02
  1.559533e+00    1.142834e+02
  1.562649e+00    1.138773e+02
  1.565765e+00    1.136997e+02
  1.568881e+00    1.136717e+02
  1.571997e+00    1.138855e+02
  1.575113e+00    1.140059e+02
  1.578229e+00    1.145747e+02
  1.581345e+00    1.155638e+02
  1.584461e+00    1.174484e+02
  1.587576e+00    1.199028e+02
